審議回次,種類,提出回次,提出番号,件名,議案URL,議案要旨,提出法律案,議案審議情報一覧 - 提出日,議案審議情報一覧 - 衆議院から受領／提出日,議案審議情報一覧 - 衆議院へ送付／提出日,議案審議情報一覧 - 先議区分,議案審議情報一覧 - 継続区分,参議院委員会等経過情報 - 本付託日,参議院委員会等経過情報 - 付託委員会等,参議院委員会等経過情報 - 議決日,参議院委員会等経過情報 - 議決・継続結果,参議院本会議経過情報 - 議決日,参議院本会議経過情報 - 議決,参議院本会議経過情報 - 採決態様,参議院本会議経過情報 - 採決方法,参議院本会議経過情報 - 投票結果,衆議院委員会等経過情報 - 本付託日,衆議院委員会等経過情報 - 付託委員会等,衆議院委員会等経過情報 - 議決日,衆議院委員会等経過情報 - 議決・継続結果,衆議院本会議経過情報 - 議決日,衆議院本会議経過情報 - 議決,衆議院本会議経過情報 - 採決態様,衆議院本会議経過情報 - 採決方法,その他の情報 - 公布年月日,その他の情報 - 法律番号,成立法律
153,法律案（内閣提出）,153,1,司法制度改革推進法案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153001.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315310.pdf,,2001-09-28,2001-10-30,,衆先議,,2001-10-31,法務委員会,2001-11-08,可決,2001-11-09,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1109-v005.htm,2001-10-18,法務委員会,2001-10-26,可決,2001-10-30,可決,多数,起立,2001-11-16,119,
153,法律案（内閣提出）,153,2,銀行等の株式等の保有の制限等に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153002.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315320.pdf,,2001-09-28,2001-11-01,,衆先議,,2001-11-02,財政金融委員会,2001-11-20,可決,2001-11-21,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1121-v002.htm,2001-10-19,財務金融委員会,2001-10-31,可決,2001-11-01,可決,多数,起立,2001-11-28,131,
153,法律案（内閣提出）,153,3,平成十三年九月十一日のアメリカ合衆国において発生したテロリストによる攻撃等に対応して行われる国際連合憲章の目的達成のための諸外国の活動に対して我が国が実施する措置及び関連する国際連合決議等に基づく人道的措置に関する特別措置法案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153003.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315330.pdf,,2001-10-05,2001-10-18,,衆先議,,2001-10-19,外交防衛委員会,2001-10-26,可決,2001-10-29,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1029-v003.htm,2001-10-10,国際テロリズムの防止及び我が国の協力支援活動等に関する特別委員会,2001-10-16,修正,2001-10-18,修正,多数,起立,2001-11-02,113,
153,法律案（内閣提出）,153,4,自衛隊法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153004.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315340.pdf,,2001-10-05,2001-10-18,,衆先議,,2001-10-19,外交防衛委員会,2001-10-26,可決,2001-10-29,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1029-v004.htm,2001-10-10,国際テロリズムの防止及び我が国の協力支援活動等に関する特別委員会,2001-10-16,可決,2001-10-18,可決,多数,起立,2001-11-02,115,
153,法律案（内閣提出）,153,5,海上保安庁法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153005.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315350.pdf,,2001-10-05,2001-10-18,,衆先議,,2001-10-19,国土交通委員会,2001-10-25,可決,2001-10-29,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1029-v001.htm,2001-10-10,国際テロリズムの防止及び我が国の協力支援活動等に関する特別委員会,2001-10-16,可決,2001-10-18,可決,多数,起立,2001-11-02,114,
153,法律案（内閣提出）,153,6,商法等の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153006.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315360.pdf,,2001-10-05,2001-11-06,,衆先議,,2001-11-14,法務委員会,2001-11-20,可決,2001-11-21,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1121-v003.htm,2001-10-26,法務委員会,2001-11-02,可決,2001-11-06,可決,多数,起立,2001-11-28,128,
153,法律案（内閣提出）,153,7,商法等の一部を改正する法律の施行に伴う関係法律の整備に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153007.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315370.pdf,,2001-10-12,2001-11-06,,衆先議,,2001-11-14,法務委員会,2001-11-20,可決,2001-11-21,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1121-v004.htm,2001-10-26,法務委員会,2001-11-02,可決,2001-11-06,可決,多数,起立,2001-11-28,129,
153,法律案（内閣提出）,153,8,刑法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153008.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315380.pdf,,2001-10-12,2001-11-09,,衆先議,,2001-11-20,法務委員会,2001-11-27,可決,2001-11-28,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1128-v002.htm,2001-10-31,法務委員会,2001-11-09,可決,2001-11-09,可決,全会一致,異議の有無,2001-12-05,138,
153,法律案（内閣提出）,153,9,刑事訴訟法等の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153009.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5315390.pdf,,2001-10-12,2001-11-09,,衆先議,,2001-11-20,法務委員会,2001-11-27,可決,2001-11-28,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1128-v003.htm,2001-10-31,法務委員会,2001-11-09,可決,2001-11-09,可決,全会一致,異議の有無,2001-12-05,139,
153,法律案（内閣提出）,153,10,国際機関等に派遣される防衛庁の職員の処遇等に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153010.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153100.pdf,,2001-10-19,2001-11-08,,衆先議,,2001-11-14,外交防衛委員会,2001-11-20,可決,2001-11-21,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1121-v007.htm,2001-10-30,安全保障委員会,2001-11-06,可決,2001-11-08,可決,多数,起立,2001-11-28,125,
