会派名と略称の時点,会派名,略称,議員数の時点,議員数,議員数／女性,任期1／任期満了,任期1／比例,任期1／比例／女性,任期1／選挙区,任期1／選挙区／女性,任期1／合計,任期1／合計／女性,任期2／任期満了,任期2／比例,任期2／比例／女性,任期2／選挙区,任期2／選挙区／女性,任期2／合計,任期2／合計／女性
2023-03-24,自由民主党,自民,2023-04-19,118,23,2025-07-28,19,5,36,5,55,10,2028-07-25,18,5,45,8,63,13
2023-03-24,立憲民主・社民,立憲,2023-04-19,40,20,2025-07-28,8,3,14,7,22,10,2028-07-25,8,5,10,5,18,10
2023-03-24,公明党,公明,2023-04-19,27,4,2025-07-28,7,1,7,1,14,2,2028-07-25,6,0,7,2,13,2
2023-03-24,日本維新の会,維新,2023-04-19,21,4,2025-07-28,5,0,4,1,9,1,2028-07-25,8,2,4,1,12,3
2023-03-24,国民民主党・新緑風会,民主,2023-04-19,13,4,2025-07-28,3,1,4,1,7,2,2028-07-25,3,0,3,2,6,2
2023-03-24,日本共産党,共産,2023-04-19,11,5,2025-07-28,4,1,3,2,7,3,2028-07-25,3,2,1,0,4,2
2023-03-24,れいわ新選組,れ新,2023-04-19,5,1,2025-07-28,2,1,0,0,2,1,2028-07-25,2,0,1,0,3,0
2023-03-24,沖縄の風,沖縄,2023-04-19,2,0,2025-07-28,0,0,1,0,1,0,2028-07-25,0,0,1,0,1,0
2023-03-24,政治家女子48党,女子,2023-04-19,2,0,2025-07-28,1,0,0,0,1,0,2028-07-25,1,0,0,0,1,0
2023-03-24,各派に属しない議員,無所属,2023-04-19,8,4,2025-07-28,1,0,4,2,5,2,2028-07-25,1,0,2,2,3,2
