提出回次,提出番号,件名,提出者,提出人数,質問本文（html）,答弁本文（html）,質問本文（PDF）,答弁本文（PDF）,明細URL,提出日,転送日,答弁書受領日,備考
001,1,食生活安定に関する質問主意書,市来　乙彦,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001001.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001001.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001001.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001001.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001001.htm,1947-06-06,1947-06-23,1947-06-28,
001,2,国民健康保険組合制度に関する質問主意書,姫井　伊介,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001002.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001002.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001002.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001002.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001002.htm,1947-06-30,1947-07-02,1947-07-08,
001,3,米麦專賣制実施に関する質問主意書,姫井　伊介,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001003.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001003.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001003.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001003.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001003.htm,1947-06-30,1947-07-02,1947-07-08,
001,4,木村内務大臣に対する質問主意書,尾崎　行輝,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001004.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001004.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001004.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001004.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001004.htm,1947-06-30,1947-07-03,1947-07-08,
001,5,学制改革並びに教員優遇に関する質問主意書,三好　始,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001005.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001005.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001005.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001005.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001005.htm,1947-07-05,1947-07-08,1947-07-12,
001,6,都市衛生法令制定に関する質問主意書,中平　常太郎,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001006.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001006.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001006.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001006.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001006.htm,1947-07-07,1947-07-09,1947-07-14,
001,7,煙草値下に関する質問主意書,齋　武雄,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001007.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001007.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001007.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001007.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001007.htm,1947-07-07,1947-07-09,1947-07-14,
001,8,新日本建設国民運動に関する質問主意書,山下　義信,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001008.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001008.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001008.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001008.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001008.htm,1947-07-08,1947-07-10,1947-07-16,
001,9,経済実相報告中疑義に関する質問主意書,油井　賢太郎,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001009.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001009.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001009.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001009.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001009.htm,1947-07-10,1947-07-12,1947-07-18,
001,10,食生活安定に関する質問主意書,市来　乙彦,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001010.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001010.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001010.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001010.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001010.htm,1947-07-25,1947-07-28,1947-08-01,
001,11,罰金刑に関する質問主意書,岡部　常,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001011.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001011.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001011.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001011.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001011.htm,1947-07-30,1947-07-31,1947-08-06,
001,12,民主主義新日本建設の基礎条件として戦争犠牲の公平なる負担問題に関しての質問主意書,北條　秀一,5,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001012.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001012.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001012.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001012.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001012.htm,1947-07-31,1947-08-02,1947-08-08,
001,13,農地調整法並に自作農創設特別措置法に関する質問主意書,北條　秀一,4,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001013.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001013.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001013.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001013.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001013.htm,1947-07-31,1947-08-02,1947-08-08,
001,14,最近の復員者待遇に関しての質問主意書,北條　秀一,5,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001014.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001014.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001014.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001014.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001014.htm,1947-07-31,1947-08-02,1947-08-08,
001,15,国民の耐乏生活についての質問主意書,北條　秀一,3,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001015.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001015.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001015.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001015.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001015.htm,1947-07-31,1947-08-02,1947-08-08,
001,16,新日本建設運動と国旗尊厳擁護と帰還促進との関連についての質問主意書,北條　秀一,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001016.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001016.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001016.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001016.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001016.htm,1947-07-31,1947-08-02,1947-08-08,
001,17,昭和21年度増加所得税減額に関する質問主意書,小川　友三,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001017.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001017.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001017.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001017.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001017.htm,1947-07-31,1947-08-02,1947-08-08,
001,18,無用法令の廃除に関する質問主意書,姫井　伊介,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001018.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001018.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001018.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001018.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001018.htm,1947-08-01,1947-08-02,1947-08-08,
001,19,商法改正に関する質問主意書,姫井　伊介,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001019.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001019.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001019.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001019.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001019.htm,1947-08-01,1947-08-02,1947-08-08,
001,20,産児制限に関する質問主意書,谷口　弥三郎,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001020.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001020.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001020.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001020.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001020.htm,1947-08-02,1947-08-05,1947-08-08,
001,21,医薬分業に関する質問主意書,小川　友三,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001021.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001021.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001021.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001021.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001021.htm,1947-08-04,1947-08-06,1947-08-11,
001,22,昭和22年中古衣類査定価格廃止に関する質問主意書,小川　友三,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001022.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001022.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001022.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001022.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001022.htm,1947-08-04,1947-08-06,1947-08-12,
001,23,日本薬剤師会改組に関する質問主意書,小川　友三,1,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syuh/s001023.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/touh/t001023.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/syup/s001023.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/toup/t001023.pdf,https://www.sangiin.go.jp/japanese/joho1/kousei/syuisyo/001/meisai/m001023.htm,1947-08-07,1947-08-08,1947-08-12,
